자치구별,mean,std_dev
강남구,359650.7,30362.82827093023
노원구,84562.9,18182.518832384034
동대문구,31385.8,41925.464848466494
마포구,279390.8,208125.53239081457
서대문구,806960.3,371942.9236912701
서초구,37684.9,13135.893524614152
송파구,2927844.0,3465228.768071626
용산구,2960404.5,749060.6039281802
종로구,6571319.7,2317520.564468892
중구,1659970.6,508169.85744123
