Distribution,Mean,Standard Deviation,Mean Error,Std Dev Error
normal,-0.00045551096084578635,0.9990546212356763,0.00045551096084578635,0.0009453787643236566
uniform,0.49992112364771646,0.28869102641497435,7.887635228354117e-05,1.589182016142887e-05
